NAME,GEO_ID,B08534_001E,B08534_101E,B08534_102E,B08534_103E,B08534_104E,B08534_105E,B08534_106E,B08534_107E,B08534_108E,B08534_109E,B08534_110E,state,county
"Accomack County, Virginia",51001,13184.0,453.0,297.0,143.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,51,1
"Albemarle County, Virginia",51003,51289.0,2029.0,659.0,246.0,447.0,310.0,79.0,221.0,27.0,0.0,40.0,51,3
"Alleghany County, Virginia",51005,5031.0,25.0,9.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,51,5
"Amelia County, Virginia",51007,2116.0,83.0,45.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,51,7
"Amherst County, Virginia",51009,7544.0,181.0,92.0,36.0,42.0,0.0,0.0,0.0,0.0,11.0,0.0,51,9
"Appomattox County, Virginia",51011,3614.0,63.0,53.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,51,11
"Arlington County, Virginia",51013,165759.0,6971.0,2068.0,1579.0,1541.0,874.0,287.0,387.0,146.0,48.0,41.0,51,13
"Augusta County, Virginia",51015,26506.0,271.0,234.0,0.0,16.0,0.0,0.0,21.0,0.0,0.0,0.0,51,15
"Bath County, Virginia",51017,1971.0,23.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,17
"Bedford County, Virginia",51019,19501.0,341.0,253.0,0.0,5.0,0.0,0.0,0.0,0.0,56.0,27.0,51,19
"Bland County, Virginia",51021,2035.0,33.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,21
"Botetourt County, Virginia",51023,11009.0,101.0,91.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,23
"Brunswick County, Virginia",51025,3093.0,75.0,44.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,51,25
"Buchanan County, Virginia",51027,6194.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,27
"Buckingham County, Virginia",51029,2757.0,43.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,29
"Campbell County, Virginia",51031,19983.0,346.0,318.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,51,31
"Caroline County, Virginia",51033,7227.0,615.0,545.0,4.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,51,33
"Carroll County, Virginia",51035,6111.0,130.0,117.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,51,35
"Charles City County, Virginia",51036,1190.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,36
"Charlotte County, Virginia",51037,2578.0,113.0,104.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,51,37
"Chesterfield County, Virginia",51041,122750.0,1014.0,471.0,140.0,233.0,25.0,57.0,38.0,18.0,32.0,0.0,51,41
"Clarke County, Virginia",51043,3733.0,114.0,86.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,51,43
"Craig County, Virginia",51045,,,,,,,,,,,,51,45
"Culpeper County, Virginia",51047,16218.0,478.0,353.0,53.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,51,47
"Cumberland County, Virginia",51049,1761.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,49
"Dickenson County, Virginia",51051,3687.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,51
"Dinwiddie County, Virginia",51053,8158.0,69.0,53.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,51,53
"Essex County, Virginia",51057,3206.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,57
"Fairfax County, Virginia",51059,556257.0,10886.0,4423.0,2059.0,2106.0,878.0,167.0,726.0,334.0,84.0,109.0,51,59
"Fauquier County, Virginia",51061,21205.0,523.0,391.0,118.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,51,61
"Floyd County, Virginia",51063,3591.0,77.0,71.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,51,63
"Fluvanna County, Virginia",51065,4039.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,65
"Franklin County, Virginia",51067,14313.0,379.0,275.0,39.0,13.0,17.0,0.0,4.0,31.0,0.0,0.0,51,67
"Frederick County, Virginia",51069,33430.0,436.0,322.0,65.0,18.0,19.0,12.0,0.0,0.0,0.0,0.0,51,69
"Giles County, Virginia",51071,5365.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,71
"Gloucester County, Virginia",51073,8531.0,113.0,75.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,73
"Goochland County, Virginia",51075,13954.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,75
"Grayson County, Virginia",51077,2913.0,96.0,70.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,11.0,51,77
"Greene County, Virginia",51079,3855.0,67.0,40.0,11.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,51,79
"Greensville County, Virginia",51081,3673.0,14.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,51,81
"Halifax County, Virginia",51083,11828.0,83.0,51.0,2.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,51,83
"Hanover County, Virginia",51085,40938.0,611.0,445.0,53.0,74.0,7.0,0.0,12.0,10.0,10.0,0.0,51,85
"Henrico County, Virginia",51087,165208.0,1097.0,556.0,112.0,209.0,17.0,0.0,185.0,12.0,6.0,0.0,51,87
"Henry County, Virginia",51089,15776.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,89
"Highland County, Virginia",51091,629.0,55.0,31.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,91
"Isle of Wight County, Virginia",51093,10299.0,182.0,80.0,12.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,51,93
"James City County, Virginia",51095,25320.0,311.0,189.0,63.0,9.0,50.0,0.0,0.0,0.0,0.0,0.0,51,95
"King and Queen County, Virginia",51097,1048.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,51,97
"King George County, Virginia",51099,13472.0,154.0,91.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,18.0,51,99
"King William County, Virginia",51101,4459.0,15.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,51,101
"Lancaster County, Virginia",51103,4204.0,96.0,75.0,0.0,4.0,16.0,0.0,1.0,0.0,0.0,0.0,51,103
"Lee County, Virginia",51105,3944.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,105
"Loudoun County, Virginia",51107,163388.0,3227.0,1817.0,580.0,335.0,249.0,70.0,86.0,66.0,24.0,0.0,51,107
"Louisa County, Virginia",51109,10014.0,123.0,120.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,109
"Lunenburg County, Virginia",51111,2496.0,46.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,111
"Madison County, Virginia",51113,3784.0,123.0,84.0,23.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,51,113
"Mathews County, Virginia",51115,1561.0,11.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,115
"Mecklenburg County, Virginia",51117,12758.0,104.0,82.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,51,117
"Middlesex County, Virginia",51119,3113.0,115.0,82.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,21.0,51,119
"Montgomery County, Virginia",51121,46414.0,2113.0,942.0,294.0,318.0,339.0,78.0,38.0,57.0,0.0,47.0,51,121
"Nelson County, Virginia",51125,3664.0,99.0,28.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,125
"New Kent County, Virginia",51127,4178.0,48.0,0.0,0.0,6.0,0.0,15.0,0.0,0.0,0.0,27.0,51,127
"Northampton County, Virginia",51131,4511.0,102.0,42.0,46.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,51,131
"Northumberland County, Virginia",51133,2223.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,133
"Nottoway County, Virginia",51135,6232.0,73.0,22.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,135
"Orange County, Virginia",51137,8704.0,166.0,90.0,9.0,34.0,0.0,0.0,33.0,0.0,0.0,0.0,51,137
"Page County, Virginia",51139,5951.0,122.0,47.0,29.0,36.0,10.0,0.0,0.0,0.0,0.0,0.0,51,139
"Patrick County, Virginia",51141,4732.0,115.0,94.0,10.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,51,141
"Pittsylvania County, Virginia",51143,13875.0,201.0,155.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,17.0,51,143
