NAME,GEO_ID,B01003_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,B01001_023E,B01001_024E,B01001_025E,B01001_047E,B01001_048E,B01001_049E,B03002_002E,B03002_003E,B03002_012E,B03002_013E,B16004_007E,B16004_008E,B16004_012E,B16004_013E,B16004_017E,B16004_018E,B16004_022E,B16004_023E,B16004_029E,B16004_030E,B16004_034E,B16004_035E,B16004_039E,B16004_040E,B16004_044E,B16004_045E,B16004_051E,B16004_052E,B16004_056E,B16004_057E,B16004_061E,B16004_062E,B16004_066E,B16004_067E,state,county,tract,block group,poverty_ratio_sum,over_75_sum,total_minority_non_hispanic,total_minority_hispanic,total_minority,do_not_speak_english_very_well
"Block Group 1, Census Tract 901.01, Accomack County, Virginia",510010901011,895,8,25,0,62,87,0,0,9,83,0,895,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90101,1,95,179,8,0,8,0
"Block Group 2, Census Tract 901.01, Accomack County, Virginia",510010901012,1002,36,0,28,11,14,0,11,51,0,20,932,875,70,70,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90101,2,75,96,57,0,57,21
"Block Group 1, Census Tract 901.02, Accomack County, Virginia",510010901021,794,54,0,30,122,35,13,11,13,31,10,794,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90102,1,206,113,11,0,11,0
"Block Group 2, Census Tract 901.02, Accomack County, Virginia",510010901022,594,137,0,65,78,38,0,0,0,23,23,579,498,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90102,2,280,84,81,0,81,0
"Block Group 1, Census Tract 902.01, Accomack County, Virginia",510010902011,1167,0,178,139,0,87,0,0,74,0,0,1049,791,118,118,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,51,1,90201,1,317,161,258,0,258,19
"Block Group 2, Census Tract 902.01, Accomack County, Virginia",510010902012,1833,118,112,52,0,120,46,39,38,56,0,1800,1800,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90201,2,282,299,0,0,0,0
"Block Group 1, Census Tract 902.02, Accomack County, Virginia",510010902021,1174,74,406,0,48,0,0,0,0,0,0,1165,304,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90202,1,528,0,861,9,870,9
"Block Group 2, Census Tract 902.02, Accomack County, Virginia",510010902022,1026,31,153,0,100,37,14,8,8,4,14,949,554,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90202,2,284,85,395,0,395,0
"Block Group 3, Census Tract 902.02, Accomack County, Virginia",510010902023,784,17,56,0,0,0,0,0,0,0,93,784,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90202,3,73,93,162,0,162,0
"Block Group 1, Census Tract 903, Accomack County, Virginia",510010903001,476,72,65,9,0,14,0,1,7,3,2,462,358,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90300,1,146,27,104,0,104,0
