NAME,GEO_ID,S0101_C01_001E,S1810_C01_001E,S1810_C02_001E,S1810_C03_001E,state,county,tract
"Census Tract 901.01, Accomack County, Virginia",51001090101,1897,1855,182,9.8,51,1,90101
"Census Tract 901.02, Accomack County, Virginia",51001090102,1388,1310,167,12.7,51,1,90102
"Census Tract 902.01, Accomack County, Virginia",51001090201,3000,2954,558,18.9,51,1,90201
"Census Tract 902.02, Accomack County, Virginia",51001090202,2984,2926,407,13.9,51,1,90202
"Census Tract 903, Accomack County, Virginia",51001090300,2113,2113,333,15.8,51,1,90300
"Census Tract 904.01, Accomack County, Virginia",51001090401,3426,3426,270,7.9,51,1,90401
"Census Tract 904.02, Accomack County, Virginia",51001090402,4132,3943,543,13.8,51,1,90402
"Census Tract 905, Accomack County, Virginia",51001090500,2341,2335,416,17.8,51,1,90500
"Census Tract 906, Accomack County, Virginia",51001090600,3551,3520,598,17.0,51,1,90600
"Census Tract 907, Accomack County, Virginia",51001090700,5074,5074,948,18.7,51,1,90700
"Census Tract 908, Accomack County, Virginia",51001090800,3458,3457,506,14.6,51,1,90800
"Census Tract 9801, Accomack County, Virginia",51001980100,24,24,0,0.0,51,1,980100
"Census Tract 9802, Accomack County, Virginia",51001980200,0,0,0,-666666666.0,51,1,980200
"Census Tract 9901, Accomack County, Virginia",51001990100,0,0,0,-666666666.0,51,1,990100
"Census Tract 9902, Accomack County, Virginia",51001990200,0,0,0,-666666666.0,51,1,990200
"Census Tract 101, Albemarle County, Virginia",51003010100,4749,4685,714,15.2,51,3,10100
"Census Tract 102.01, Albemarle County, Virginia",51003010201,5711,5688,206,3.6,51,3,10201
"Census Tract 102.02, Albemarle County, Virginia",51003010202,3067,3067,250,8.2,51,3,10202
"Census Tract 103.01, Albemarle County, Virginia",51003010301,2217,2205,260,11.8,51,3,10301
"Census Tract 103.02, Albemarle County, Virginia",51003010302,1329,1318,190,14.4,51,3,10302
"Census Tract 103.03, Albemarle County, Virginia",51003010303,5478,5457,525,9.6,51,3,10303
"Census Tract 104.01, Albemarle County, Virginia",51003010401,4250,4175,501,12.0,51,3,10401
"Census Tract 104.02, Albemarle County, Virginia",51003010402,3329,3316,241,7.3,51,3,10402
"Census Tract 105.01, Albemarle County, Virginia",51003010501,2913,2913,183,6.3,51,3,10501
"Census Tract 105.02, Albemarle County, Virginia",51003010502,2928,2904,447,15.4,51,3,10502
"Census Tract 106.02, Albemarle County, Virginia",51003010602,4651,4617,457,9.9,51,3,10602
"Census Tract 106.03, Albemarle County, Virginia",51003010603,2507,2316,675,29.1,51,3,10603
"Census Tract 106.04, Albemarle County, Virginia",51003010604,4335,4335,414,9.6,51,3,10604
"Census Tract 107.01, Albemarle County, Virginia",51003010701,2722,2564,121,4.7,51,3,10701
"Census Tract 107.02, Albemarle County, Virginia",51003010702,3070,2991,306,10.2,51,3,10702
"Census Tract 108.01, Albemarle County, Virginia",51003010801,3404,3373,483,14.3,51,3,10801
"Census Tract 108.02, Albemarle County, Virginia",51003010802,2582,2582,328,12.7,51,3,10802
"Census Tract 109.01, Albemarle County, Virginia",51003010901,1706,1703,151,8.9,51,3,10901
"Census Tract 109.04, Albemarle County, Virginia",51003010904,7678,7678,470,6.1,51,3,10904
"Census Tract 110, Albemarle County, Virginia",51003011000,6826,6826,362,5.3,51,3,11000
"Census Tract 111.01, Albemarle County, Virginia",51003011101,1881,1881,44,2.3,51,3,11101
"Census Tract 111.02, Albemarle County, Virginia",51003011102,2892,2892,79,2.7,51,3,11102
"Census Tract 111.03, Albemarle County, Virginia",51003011103,3773,3773,374,9.9,51,3,11103
"Census Tract 112.01, Albemarle County, Virginia",51003011201,4138,4138,239,5.8,51,3,11201
"Census Tract 112.02, Albemarle County, Virginia",51003011202,3688,3646,300,8.2,51,3,11202
"Census Tract 113.01, Albemarle County, Virginia",51003011301,5323,5323,542,10.2,51,3,11301
"Census Tract 113.02, Albemarle County, Virginia",51003011302,4696,4696,284,6.0,51,3,11302
