NAME,GEO_ID_local,Total Population,Income to Poverty Level: Under 0.50,Income to Poverty Level: 0.50 to 0.99,Income to Poverty Level: 1.00 to 1.24,Income to Poverty Level: 1.25 to 1.49,Total Male 75 to 79 years,Total Male 80 to 84 years,Total Male 85 and older,Total Female 75 to 79 years,Total Female 80 to 84 years,Total Female 85 and older,Total Not Hispanic or Latino,Total Not Hispanic or Latino White alone,Total Hispanic or Latino,Total Hispanic or Latino White alone,"Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English ""not at all""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""not at all""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English ""not at all""",state,county,tract,block group,poverty_ratio_sum,over_75_sum,total_minority_non_hispanic,total_minority_hispanic,total_minority,do_not_speak_english_very_well,countytract,Percent with a disability,Residents with a disability,poverty_ratio_sum_share_local,over_75_sum_share_local,total_minority_share_local,Total Hispanic or Latino_share_local,do_not_speak_english_very_well_share_local,Residents with a disability_share_local,GEOID,RN_Name,in_RN,GEO_ID_regional,poverty_ratio_sum_share_regional,over_75_sum_share_regional,total_minority_share_regional,Total Hispanic or Latino_share_regional,do_not_speak_english_very_well_share_regional,Residents with a disability_share_regional
"Block Group 1, Census Tract 901.01, Accomack County, Virginia",510010901011,895,8,25,0,62,87,0,0,9,83,0,895,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90101,1,95,179,8,0,8,0,1.90101,9.59409594095941,86.0,0.10614525139664804,0.2,0.008938547486033519,0.0,0.0,0.09608938547486033,510010901011,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 2, Census Tract 901.01, Accomack County, Virginia",510010901012,1002,36,0,28,11,14,0,11,51,0,20,932,875,70,70,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90101,2,75,96,57,0,57,21,1.90101,9.59409594095941,96.0,0.0748502994011976,0.09580838323353294,0.05688622754491018,0.06986027944111776,0.020958083832335328,0.09580838323353294,510010901012,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 1, Census Tract 901.02, Accomack County, Virginia",510010901021,794,54,0,30,122,35,13,11,13,31,10,794,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90102,1,206,113,11,0,11,0,1.90102,12.031700288184439,96.0,0.2594458438287154,0.14231738035264482,0.013853904282115869,0.0,0.0,0.12090680100755667,510010901021,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 2, Census Tract 901.02, Accomack County, Virginia",510010901022,594,137,0,65,78,38,0,0,0,23,23,579,498,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90102,2,280,84,81,0,81,0,1.90102,12.031700288184439,71.0,0.4713804713804714,0.1414141414141414,0.13636363636363635,0.025252525252525252,0.0,0.11952861952861953,510010901022,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 1, Census Tract 902.01, Accomack County, Virginia",510010902011,1167,0,178,139,0,87,0,0,74,0,0,1049,791,118,118,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,51,1,90201,1,317,161,258,0,258,19,1.90201,18.6,217.0,0.27163667523564694,0.1379605826906598,0.2210796915167095,0.10111396743787489,0.016281062553556127,0.18594687232219365,510010902011,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 2, Census Tract 902.01, Accomack County, Virginia",510010902012,1833,118,112,52,0,120,46,39,38,56,0,1800,1800,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90201,2,282,299,0,0,0,0,1.90201,18.6,341.0,0.15384615384615385,0.16312056737588654,0.0,0.01800327332242226,0.0,0.18603382433169668,510010902012,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 1, Census Tract 902.02, Accomack County, Virginia",510010902021,1174,74,406,0,48,0,0,0,0,0,0,1165,304,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90202,1,528,0,861,9,870,9,1.90202,13.639410187667561,160.0,0.4497444633730835,0.0,0.7410562180579217,0.007666098807495741,0.007666098807495741,0.1362862010221465,510010902021,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 2, Census Tract 902.02, Accomack County, Virginia",510010902022,1026,31,153,0,100,37,14,8,8,4,14,949,554,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90202,2,284,85,395,0,395,0,1.90202,13.639410187667561,140.0,0.27680311890838205,0.08284600389863547,0.38499025341130605,0.07504873294346978,0.0,0.1364522417153996,510010902022,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 3, Census Tract 902.02, Accomack County, Virginia",510010902023,784,17,56,0,0,0,0,0,0,0,93,784,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90202,3,73,93,162,0,162,0,1.90202,13.639410187667561,107.0,0.09311224489795919,0.11862244897959184,0.2066326530612245,0.0,0.0,0.1364795918367347,510010902023,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 1, Census Tract 903, Accomack County, Virginia",510010903001,476,72,65,9,0,14,0,1,7,3,2,462,358,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90300,1,146,27,104,0,104,0,1.90300,15.75958353052532,75.0,0.3067226890756303,0.05672268907563025,0.2184873949579832,0.029411764705882353,0.0,0.15756302521008403,510010903001,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
