RN_Name,GEO_ID,poverty_ratio_sum_share,over_75_sum_share,total_minority_share,Total Hispanic or Latino_share,do_not_speak_english_very_well_share,Residents with a disability_share
Bristol Region,512824021064.9074,0.23559072384974156,0.0954840439927624,0.06631871445340383,0.01840786356718564,0.0017777455499667027,0.21534826780668467
Central VA MPO Region (Lynchburg),512575748687.7267,0.2108001615472144,0.08097873810349782,0.24073120954452149,0.03083800023857744,0.006172059078333613,0.13728254531545903
Charlottesville Region,511702699164.2049,0.15645883179353712,0.0714038953923053,0.21885429891847882,0.05346289338787693,0.017259062429226233,0.09068903045611905
Danville Region,513360402632.01135,0.3042032440869543,0.09337183347608548,0.38811510236844576,0.03246897926116378,0.008330850362710014,0.19114415623938613
Fredericksburg Region,512265730036.1344,0.10946527238308482,0.05226721135800485,0.32145821974419303,0.1130288197783407,0.018006838576112908,0.09647152119410722
Hampton Roads Region,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
Harrisonburg Region,513445126740.4286,0.2215204392083882,0.06667789944568515,0.15756682780670977,0.12986786893391816,0.03898808908298555,0.11636970909095566
Kingsport Region,511690303552.2,0.29129300707356837,0.113193217476743,0.02159348047853562,0.013904919214840453,0.00019710906701708277,0.272501834626084
New River Valley Region,511959225487.9813,0.2670582190183817,0.06158519738187666,0.12459124269275805,0.029741418762091763,0.0045588356588935125,0.13608286734967573
Northern Virginia Region,511367899204.78284,0.0977601879972268,0.04964050455011567,0.3932568730486741,0.16566519385652365,0.04562797675655708,0.07167454304997493
Richmond Region,513228210680.9652,0.18688914883801624,0.06344002597131497,0.4284116768181595,0.05516065403864992,0.018234841831281795,0.12529548536302187
Roanoke Region,514681169746.3646,0.19799877268834543,0.08399024555128753,0.21787058426852082,0.04150031432354628,0.008529782256804815,0.11508636428725783
Staunton/Augusta/Waynesboro Region,513288604685.6667,0.18662559096218115,0.08889525615614154,0.12184259623934862,0.03895182643322179,0.009081498397250209,0.1419236583376594
Tri-Cities Region,511773517141.1694,0.17352138459796138,0.06445810076327244,0.4132731593385916,0.09035718062292221,0.021728666155173885,0.13744641214727657
Winchester Region,513099724043.9,0.1528835521591842,0.07413748141173268,0.15303256667167037,0.10806971286575844,0.024695747507614885,0.12644980066334804
