RN Name,Estimate!!Total:!!Public transportation (excluding taxicab),LT 10 min,10-14 min,15-19 min,20-24 min,25-29 min,30-34 min,35-44 min,45-59 min,GT 60 min,mid-commuter,C LT 10,C 10-14,C 15-19,C 20-24,C 25-29,C 30-34,C 35-44,C 45-59,C GT 60,median commute time bucket,median commute time
Bristol Region,239.0,58.0,46.0,0.0,0.0,44.0,25.0,31.0,19.0,16.0,119.5,58.0,104.0,104.0,104.0,148.0,173.0,204.0,223.0,239.0,20-24 min,22
Central VA MPO Region (Lynchburg),1358.0,73.0,140.0,174.0,74.0,10.0,155.0,51.0,130.0,551.0,679.0,73.0,213.0,387.0,461.0,471.0,626.0,677.0,807.0,1358.0,35-44 min,40
Charlottesville Region,3106.0,276.0,372.0,499.0,328.0,207.0,682.0,111.0,192.0,439.0,1553.0,276.0,648.0,1147.0,1475.0,1682.0,2364.0,2475.0,2667.0,3106.0,20-24 min,22
Danville Region,757.0,71.0,129.0,187.0,106.0,32.0,145.0,21.0,18.0,48.0,378.5,71.0,200.0,387.0,493.0,525.0,670.0,691.0,709.0,757.0,10-14 min,12
Fredericksburg Region,15046.0,137.0,40.0,277.0,171.0,108.0,492.0,734.0,2155.0,10932.0,7523.0,137.0,177.0,454.0,625.0,733.0,1225.0,1959.0,4114.0,15046.0,45-59 min,52
Hampton Roads Region,12694.0,928.0,867.0,970.0,1109.0,240.0,1964.0,557.0,1481.0,4578.0,6347.0,928.0,1795.0,2765.0,3874.0,4114.0,6078.0,6635.0,8116.0,12694.0,30-34 min,32
Harrisonburg Region,1677.0,132.0,167.0,351.0,219.0,24.0,365.0,118.0,64.0,237.0,838.5,132.0,299.0,650.0,869.0,893.0,1258.0,1376.0,1440.0,1677.0,15-19 min,17
Kingsport Region,85.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,15.0,42.5,36.0,36.0,36.0,36.0,36.0,36.0,36.0,70.0,85.0,35-44 min,40
New River Valley Region,1762.0,101.0,290.0,460.0,234.0,37.0,225.0,55.0,161.0,199.0,881.0,101.0,391.0,851.0,1085.0,1122.0,1347.0,1402.0,1563.0,1762.0,15-19 min,17
Northern Virginia Region,113148.0,538.0,1670.0,4158.0,5978.0,4821.0,15923.0,14182.0,23143.0,42735.0,56574.0,538.0,2208.0,6366.0,12344.0,17165.0,33088.0,47270.0,70413.0,113148.0,35-44 min,40
Richmond Region,10591.0,587.0,363.0,920.0,1027.0,548.0,1546.0,828.0,1043.0,3729.0,5295.5,587.0,950.0,1870.0,2897.0,3445.0,4991.0,5819.0,6862.0,10591.0,30-34 min,32
Roanoke Region,3397.0,87.0,276.0,585.0,398.0,55.0,979.0,127.0,510.0,380.0,1698.5,87.0,363.0,948.0,1346.0,1401.0,2380.0,2507.0,3017.0,3397.0,25-29 min,27
Staunton/Augusta/Waynesboro Region,1424.0,119.0,139.0,270.0,188.0,21.0,321.0,73.0,60.0,233.0,712.0,119.0,258.0,528.0,716.0,737.0,1058.0,1131.0,1191.0,1424.0,15-19 min,17
Tri-Cities Region,8576.0,501.0,339.0,920.0,998.0,530.0,1442.0,853.0,929.0,2064.0,4288.0,501.0,840.0,1760.0,2758.0,3288.0,4730.0,5583.0,6512.0,8576.0,25-29 min,27
Winchester Region,364.0,59.0,9.0,12.0,0.0,0.0,79.0,0.0,24.0,181.0,182.0,59.0,68.0,80.0,80.0,80.0,159.0,159.0,183.0,364.0,35-44 min,40
