RN Name,Estimate!!Total:!!Public transportation (excluding taxicab),LT 10 min,10-14 min,15-19 min,20-24 min,25-29 min,30-34 min,35-44 min,45-59 min,GT 60 min
Bristol Region,239.0,58.0,46.0,0.0,0.0,44.0,25.0,31.0,19.0,16.0
Central VA MPO Region (Lynchburg),1358.0,73.0,140.0,174.0,74.0,10.0,155.0,51.0,130.0,551.0
Charlottesville Region,3106.0,276.0,372.0,499.0,328.0,207.0,682.0,111.0,192.0,439.0
Danville Region,757.0,71.0,129.0,187.0,106.0,32.0,145.0,21.0,18.0,48.0
Fredericksburg Region,15046.0,137.0,40.0,277.0,171.0,108.0,492.0,734.0,2155.0,10932.0
Hampton Roads Region,12694.0,928.0,867.0,970.0,1109.0,240.0,1964.0,557.0,1481.0,4578.0
Harrisonburg Region,1677.0,132.0,167.0,351.0,219.0,24.0,365.0,118.0,64.0,237.0
Kingsport Region,85.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,15.0
New River Valley Region,1762.0,101.0,290.0,460.0,234.0,37.0,225.0,55.0,161.0,199.0
Northern Virginia Region,113148.0,538.0,1670.0,4158.0,5978.0,4821.0,15923.0,14182.0,23143.0,42735.0
Richmond Region,10591.0,587.0,363.0,920.0,1027.0,548.0,1546.0,828.0,1043.0,3729.0
Roanoke Region,3397.0,87.0,276.0,585.0,398.0,55.0,979.0,127.0,510.0,380.0
Staunton/Augusta/Waynesboro Region,1424.0,119.0,139.0,270.0,188.0,21.0,321.0,73.0,60.0,233.0
Tri-Cities Region,8576.0,501.0,339.0,920.0,998.0,530.0,1442.0,853.0,929.0,2064.0
Winchester Region,364.0,59.0,9.0,12.0,0.0,0.0,79.0,0.0,24.0,181.0
