District,Jurisdiction,prime_contact_name_2019,sec_contact_name_2019,prime_secondary
Bristol,Town of Wise,Reagan Walsh,Laura Roberts,Reagan WalshLaura Roberts
Culpeper,Fauquier County,Marie Pham,,
Culpeper,Fauquier County,Marie Pham,,
Culpeper,Charlottesville City,Missy Creasy,Brian Haluska,Missy CreasyBrian Haluska
Culpeper,Fluvanna County,Douglas Miles,Brad Robinson,Douglas MilesBrad Robinson
Culpeper,Greene County,James Frydl,Stephanie Golon,James FrydlStephanie Golon
Culpeper,Albemarle County,Kevin McDermott,Daniel Butch,Kevin McDermottDaniel Butch
Culpeper,Town of Culpeper,Salem Bush,Charles Rapp,Salem BushCharles Rapp
Culpeper,Town of Warrenton,Denise Harris,Frank Cassidy,Denise HarrisFrank Cassidy
Culpeper,Fluvanna County,Douglas Miles,Brad Robinson,Douglas MilesBrad Robinson
Culpeper,Town of Warrenton,Denise Harris,Frank Cassidy,Denise HarrisFrank Cassidy
Culpeper,Orange County,Sandra Thornton,Bryan David,Sandra ThorntonBryan David
Culpeper,Charlottesville City,Missy Creasy,Brian Haluska,Missy CreasyBrian Haluska
Culpeper,Fluvanna County,Douglas Miles,Brad Robinson,Douglas MilesBrad Robinson
Culpeper,Town of Warrenton,Denise Harris,Frank Cassidy,Denise HarrisFrank Cassidy
Culpeper,Fauquier County,Marie Pham,,
Culpeper,Fauquier County,Marie Pham,,
Culpeper,Albemarle County,Kevin McDermott,Daniel Butch,Kevin McDermottDaniel Butch
Culpeper,Fauquier County,Marie Pham,,
Culpeper,Town of Warrenton,Denise Harris,Frank Cassidy,Denise HarrisFrank Cassidy
Culpeper,Fauquier County,Marie Pham,,
Culpeper,Fluvanna County,Douglas Miles,Brad Robinson,Douglas MilesBrad Robinson
Culpeper,Albemarle County,Kevin McDermott,Daniel Butch,Kevin McDermottDaniel Butch
Culpeper,Albemarle County,Kevin McDermott,Daniel Butch,Kevin McDermottDaniel Butch
Culpeper,Albemarle County,Kevin McDermott,Daniel Butch,Kevin McDermottDaniel Butch
Culpeper,Fauquier County,Marie Pham,,
Culpeper,Albemarle County,Kevin McDermott,Daniel Butch,Kevin McDermottDaniel Butch
Culpeper,Greene County,James Frydl,Stephanie Golon,James FrydlStephanie Golon
Culpeper,Fluvanna County,Douglas Miles,Brad Robinson,Douglas MilesBrad Robinson
Culpeper,Albemarle County,Kevin McDermott,Daniel Butch,Kevin McDermottDaniel Butch
Culpeper,Greene County,James Frydl,Stephanie Golon,James FrydlStephanie Golon
Culpeper,Town of Gordonsville,Deborah S Kendall,Janet Jones,Deborah S KendallJanet Jones
Culpeper,Town of Orange,John G. Cooley,Kim Strawser,John G. CooleyKim Strawser
Culpeper,Fauquier County,Marie Pham,,
Culpeper,Albemarle County,Kevin McDermott,Daniel Butch,Kevin McDermottDaniel Butch
Culpeper,Fluvanna County,Douglas Miles,Brad Robinson,Douglas MilesBrad Robinson
Fredericksburg,King William County,Ron Etter,Sherry Graham,Ron EtterSherry Graham
Fredericksburg,Caroline County,Leon Hughes,,
Fredericksburg,Gloucester County,Carol Rizzio,Ann Ducey-Ortiz,Carol RizzioAnn Ducey-Ortiz
Fredericksburg,Gloucester County,Carol Rizzio,Ann Ducey-Ortiz,Carol RizzioAnn Ducey-Ortiz
Fredericksburg,King George County,Kimberly Cook,,
Fredericksburg,Stafford County,Matthew Lehane,Adam Derrick,Matthew LehaneAdam Derrick
Fredericksburg,Stafford County,Matthew Lehane,Adam Derrick,Matthew LehaneAdam Derrick
Fredericksburg,Stafford County,Matthew Lehane,Adam Derrick,Matthew LehaneAdam Derrick
Fredericksburg,Stafford County,Matthew Lehane,Adam Derrick,Matthew LehaneAdam Derrick
Fredericksburg,Fredericksburg City,Mike Craig,Jamie Jackson,Mike CraigJamie Jackson
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,Norfolk City,Paula Shea,Amy Inman,Paula SheaAmy Inman
Hampton Roads,Hampton City,Lucy Stoll,Michael Hayes,Lucy StollMichael Hayes
Hampton Roads,Virginia Beach City,Tara Reel,Mark Shea,Tara ReelMark Shea
Hampton Roads,Isle of Wight County,Richard D Rudnicki,,
Hampton Roads,Virginia Beach City,Tara Reel,Mark Shea,Tara ReelMark Shea
Hampton Roads,Suffolk City,Claire Jones,Robert Lewis,Claire JonesRobert Lewis
Hampton Roads,Hampton City,Lucy Stoll,Michael Hayes,Lucy StollMichael Hayes
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,Hampton City,Lucy Stoll,Michael Hayes,Lucy StollMichael Hayes
Hampton Roads,Norfolk City,Paula Shea,Amy Inman,Paula SheaAmy Inman
Hampton Roads,Hampton City,Lucy Stoll,Michael Hayes,Lucy StollMichael Hayes
Hampton Roads,York County,Timothy Cross,Mark Bellamy,Timothy CrossMark Bellamy
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,Town of Exmore,Taylor Dukes,Robert Duer,Taylor DukesRobert Duer
Hampton Roads,Williamsburg City,Carolyn Murphy,Aaron Small,Carolyn MurphyAaron Small
Hampton Roads,Virginia Beach City,Tara Reel,Mark Shea,Tara ReelMark Shea
Hampton Roads,Hampton City,Lucy Stoll,Michael Hayes,Lucy StollMichael Hayes
Hampton Roads,York County,Timothy Cross,Mark Bellamy,Timothy CrossMark Bellamy
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,York County,Timothy Cross,Mark Bellamy,Timothy CrossMark Bellamy
Hampton Roads,Virginia Beach City,Tara Reel,Mark Shea,Tara ReelMark Shea
Hampton Roads,York County,Timothy Cross,Mark Bellamy,Timothy CrossMark Bellamy
Hampton Roads,Williamsburg City,Carolyn Murphy,Aaron Small,Carolyn MurphyAaron Small
Hampton Roads,Norfolk City,Paula Shea,Amy Inman,Paula SheaAmy Inman
Hampton Roads,Virginia Beach City,Tara Reel,Mark Shea,Tara ReelMark Shea
Hampton Roads,Norfolk City,Paula Shea,Amy Inman,Paula SheaAmy Inman
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,Isle of Wight County,Richard D Rudnicki,,
Hampton Roads,Norfolk City,Paula Shea,Amy Inman,Paula SheaAmy Inman
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,Hampton City,Lucy Stoll,Michael Hayes,Lucy StollMichael Hayes
Hampton Roads,Williamsburg City,Carolyn Murphy,Aaron Small,Carolyn MurphyAaron Small
Hampton Roads,Suffolk City,Claire Jones,Robert Lewis,Claire JonesRobert Lewis
Hampton Roads,Virginia Beach City,Tara Reel,Mark Shea,Tara ReelMark Shea
Hampton Roads,Hampton City,Lucy Stoll,Michael Hayes,Lucy StollMichael Hayes
Hampton Roads,Portsmouth City,James Wright,Carl Jackson,James WrightCarl Jackson
Hampton Roads,Williamsburg City,Carolyn Murphy,Aaron Small,Carolyn MurphyAaron Small
Hampton Roads,Virginia Beach City,Tara Reel,Mark Shea,Tara ReelMark Shea
Hampton Roads,Virginia Beach City,Tara Reel,Mark Shea,Tara ReelMark Shea
Hampton Roads,York County,Timothy Cross,Mark Bellamy,Timothy CrossMark Bellamy
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,Norfolk City,Paula Shea,Amy Inman,Paula SheaAmy Inman
Hampton Roads,James City County,Tammy Rosario,Tom Leininger,Tammy RosarioTom Leininger
Hampton Roads,Isle of Wight County,Richard D Rudnicki,,
Lynchburg,Campbell County,Austin Mitchell,Paul Harvey,Austin MitchellPaul Harvey
Lynchburg,Danville City,"Ken Gillie, CFM",Brian Dunevant,"Ken Gillie, CFMBrian Dunevant"
Lynchburg,Lynchburg City,Lee Newland,Tom Martin,Lee NewlandTom Martin
Lynchburg,Campbell County,Austin Mitchell,Paul Harvey,Austin MitchellPaul Harvey
Lynchburg,Campbell County,Austin Mitchell,Paul Harvey,Austin MitchellPaul Harvey
Lynchburg,Campbell County,Austin Mitchell,Paul Harvey,Austin MitchellPaul Harvey
Lynchburg,Town of Amherst,Sara Carter,,
Lynchburg,Appomattox County,Johnnie Roark,,
Lynchburg,Town of Halifax,"Carl Espy, IV",Denise Barksdale,"Carl Espy, IVDenise Barksdale"
